country,city,year,month,day,value
84,1129,2022,5,11,5.3
40,696,2022,4,27,233.0
20,691,2022,4,16,4.253
40,899,2022,4,26,114.5
84,471,2022,4,13,4.6
40,493,2022,5,17,125.19
84,1208,2022,4,29,5.4
84,465,2022,4,14,1.5
68,1277,2022,4,21,8.2
40,596,2022,5,17,264.5
40,207,2022,4,18,211.6
40,890,2022,5,11,17.0
78,1157,2022,4,21,292.0
84,310,2022,4,10,4.5
40,868,2022,4,12,267.0
40,1466,2022,4,28,154.5
40,43,2022,3,31,153.0
3,918,2022,3,30,3.44000005
78,1157,2022,5,5,320.0
84,1545,2022,5,8,8.9
28,1600,2022,5,6,13.0
40,1427,2022,4,28,44.0
40,213,2022,4,8,204.0
28,1599,2022,4,10,10.7
40,160,2022,4,6,297.0
84,1866,2022,4,26,4.8
20,1216,2022,4,15,8.00245
40,696,2022,4,2,216.0
40,1151,2022,4,4,288.0
40,562,2022,4,13,214.0
40,1466,2022,5,6,275.97
40,823,2018,2,22,146.3
40,1466,2022,4,18,210.29
14,394,2022,5,17,234.0
40,1151,2022,4,28,280.0
79,1674,2022,5,15,12.0
40,1192,2022,4,14,264.0
79,1176,2022,5,10,6.0
40,161,2022,4,30,212.1
40,119,2022,4,6,97.0
40,1081,2022,5,5,215.63
79,1621,2022,5,22,6.0
40,1101,2022,4,28,270.0
40,207,2022,3,31,229.4
63,1766,2022,5,9,9.964472
40,914,2022,5,5,114.23
40,1151,2022,4,13,202.0
40,892,2022,5,9,500.0
84,468,2022,4,2,2.6
40,562,2022,4,17,288.3
15,653,2022,4,9,500.0
40,161,2022,4,5,199.27
67,1336,2022,5,9,111.0
40,482,2016,11,9,241.0
40,379,2022,4,14,17.91
40,1152,2018,2,21,245.0
40,1399,2021,12,9,468.99
84,635,2022,5,5,5.0
40,160,2022,3,30,361.0
79,1227,2022,5,8,13.0
40,1325,2022,4,11,102.87
40,1151,2022,4,13,202.0
84,1297,2022,5,16,3.7
29,1640,2022,5,3,14.0
40,1381,2022,5,24,77.92
40,164,2022,5,25,116.63
40,1084,2022,4,7,280.8
84,1124,2022,5,7,9.7
88,408,2022,5,14,17.969
40,596,2022,5,17,264.5
84,1464,2022,5,5,9.5
84,407,2022,5,14,3.3
84,565,2022,5,13,2.0
